TF	target	importance
Oprl1	Gad1	32.48782780613283
Rgs2	Selplg	32.19350229054544
Syt4	Cpne5	32.14719991415983
Oprl1	Pgr	31.65350831480276
Dgkk	Serpinb1b	31.490415453615046
Ttyh2	Cpne5	31.39223900070579
Slc17a7	Ebf3	31.282297467948524
Slc17a6	Necab1	31.25903875955054
Pak3	Rgs2	31.230664305056422
Oprl1	Cbln2	31.09529103279631
Coch	Esr1	31.049294368491378
Pak3	Pgr	30.790273025909187
Gabra1	Slc17a6	30.76111743127831
Syt4	Arhgap36	30.640102431596244
Pak3	Gad1	30.574931129367172
Gpr165	Isl1	30.568353449545594
Gad1	Gabra1	30.564468052613385
Cxcl14	Aqp4	30.40198968546814
Fn1	Sema4d	30.369380202657354
Fn1	Sema3c	30.311560136261363
Pak3	Oprl1	30.274431101556363
Opalin	Ermn	30.216032022180293
Syt4	Gda	30.069633555390084
Opalin	Lpar1	30.04535110448619
Oprl1	Prlr	29.987820163365484
Sgk1	Sox8	29.898535863763517
Pgr	Gabra1	29.889278706201925
Sox8	Sox6	29.822795386679005
Oprl1	Gda	29.74498961532869
Baiap2	Cckbr	29.712720595917006
Cd24a	Cspg5	29.6482005469707
Cbln1	Slc17a6	29.57999219652908
Ttyh2	Sgk1	29.564558487815685
Ttyh2	Pdgfra	29.56432668264795
Oprl1	Htr2c	29.55682837317404
Igf1r	Sema3c	29.447440881359135
Syt4	Col25a1	29.338909859811874
Selplg	Rgs2	28.9599247719458
Cpne5	Nos1	28.890093263541402
Igf2r	Tmem108	28.887024438853487
Ar	Amigo2	28.705237749705375
Pak3	Cpne5	28.69558656665794
Irs4	Slc18a2	28.674469741755974
Opalin	Gjc3	28.607910902248914
Oprl1	Plin3	28.455281779898954
Slc17a6	Ntng1	28.214118809525676
Dgkk	Irs4	28.20441341847469
Esr1	Irs4	28.18595207308806
Ermn	Sox8	28.14981701294067
Gpr165	Calcr	28.003720372131713
Aqp4	Sox8	27.859827762214007
Necab1	Ntng1	27.85758599608928
Slco1a4	Ndnf	27.857483405806896
Gad1	Gda	27.78382845640708
Gabra1	Oprl1	27.66317559208847
Amigo2	Ntng1	27.65864780960108
Oprd1	Slc18a2	27.544120491915752
Prlr	Gabrg1	27.525717477685625
Aqp4	Tiparp	27.297094984501804
Ttyh2	Aqp4	26.944502347099025
Tmem108	Igf2r	26.7953876660223
Gda	Scgn	26.768039718100937
Pak3	Col25a1	26.751094117311148
Tmem108	Onecut2	26.66288812278261
Oprl1	Tmem108	26.59153779965698
Ttyh2	Gjc3	26.572749444136317
Oprl1	Pnoc	26.56062256280572
Gad1	Dgkk	26.330234970740747
Pak3	Nos1	26.264198667349003
Gpr165	Cbln2	26.255000688462783
Irs4	Arhgap36	26.238811284315613
Ndrg1	Lpar1	26.231350450008012
Myh11	Adora2a	26.20168874937079
Sox6	Traf4	26.19336635834664
Sgk1	Cspg5	26.177178998772956
Slc15a3	Selplg	26.165467279192942
Ttyh2	Cdkn1a	26.156026138882563
Cd24a	Tmem108	26.136016528281782
Aldh1l1	Sox6	26.133063389288782
Adora2a	Rgs5	26.066876088296873
Sox6	Pdgfra	25.89506895770582
Mlc1	Cd24a	25.397029571592363
Ttyh2	Gad1	25.39577681189408
Npy2r	Ntng1	25.371049633867365
Pak3	Gpr165	25.347500435890666
Pdgfra	Sox8	25.324348140514868
Gad1	Htr2c	25.29035941927259
Sema3c	Fn1	25.1995187254836
Sox8	Syt4	25.179133167945665
Myh11	Rgs5	25.175441170514212
Ace2	Adora2a	25.076487198936697
Oprl1	Amigo2	25.067692893567262
Syt4	Glra3	24.798350373495875
Ttyh2	Aldh1l1	24.782387388446338
Cbln2	Cbln1	24.72108754410594
Ar	Npy2r	24.542421701403036
Sox6	Cyr61	24.479718114787815
Irs4	Gpr165	24.359939214186312
Nos1	Cpne5	24.33837586694081
Ar	Pak3	24.28192485392811
Opalin	Sgk1	24.250819995268873
Esr1	Npy2r	24.207331370280954
Syt4	Amigo2	24.19339420283368
Ccnd2	Myh11	24.140681855559144
Oprl1	Cspg5	24.131009149514455
Esr1	Ntng1	24.02308383813646
Gad1	Tacr3	23.921038346336125
Mlc1	Plin3	23.89664233545399
Oprl1	Irs4	23.872255209019514
Ttyh2	Gabra1	23.80821297622703
Ttyh2	Ar	23.682305654045386
Aldh1l1	Bmp7	23.570949895278087
Pgr	Npy2r	23.483838528855706
Klf4	Rgs5	23.47541387123908
Htr2c	Isl1	23.466746219332485
Chat	Tacr1	23.43774128055277
Oprl1	Arhgap36	23.334092105911147
Gad1	Ar	23.18794657531163
Gad1	Esr1	23.093644419402064
Gjc3	Ndrg1	23.072685282325892
Cckbr	Baiap2	23.033344001891003
Pdgfra	Cspg5	22.94040007024809
Igf2r	Onecut2	22.933124811811705
Pak3	Slc17a6	22.898427680753592
Calcr	Brs3	22.812975234022797
Myh11	Ccnd2	22.81114660680642
Igf1r	Sema4d	22.807706631544608
Gabra1	Glra3	22.792792488597005
Syt4	Pnoc	22.730110425687847
Cspg5	Cxcl14	22.671006181756358
Fn1	Myh11	22.648594556897116
Ndrg1	Ttyh2	22.631765011054128
Ttyh2	Pgr	22.615851618626525
Gabra1	Pcdh11x	22.56241648694082
Ttyh2	Necab1	22.520958593930274
Syt4	Htr2c	22.504390734823023
Gpr165	Irs4	22.44236898676485
Ndrg1	Cbln2	22.392759980012947
Syt4	Tacr1	22.383955704945773
Gpr165	Cbln1	22.324440896623187
Sox8	Gjc3	22.242272155671266
Cpne5	Sp9	22.230451088750158
Lpar1	Sgk1	22.211168605194942
Lmod1	Ccnd2	22.04676341130308
Pak3	Cbln2	22.027746879748786
Col25a1	Gda	22.024665316446846
Pou3f2	Aldh1l1	21.991496636089476
Sox8	Pdgfra	21.94358684207861
Sox8	Etv1	21.785314722864594
Cd24a	Npy2r	21.783145492711444
Pcdh11x	Calcr	21.717878257433753
Adora2a	Myh11	21.550568719553713
Gda	Sp9	21.53430172563288
Cxcl14	Pou3f2	21.51545702715017
Cspg5	Gabrg1	21.39013545070644
Glra3	Gabrg1	21.37244444029843
Irs4	Pak3	21.30828807279745
Sgk1	Baiap2	21.29057877969996
Oprl1	Col25a1	21.19990602018302
Gpr165	Prlr	21.191703195853535
Pak3	Npy2r	21.176843198471982
Syt4	Cbln1	21.17040497951945
Irs4	Nos1	21.079794102492027
Cpne5	Synpr	21.07367043075808
Cbln1	Necab1	21.01276659369718
Sema4d	Selplg	20.961985258843207
Gpr165	Glra3	20.892032856820716
Man1a	Selplg	20.88984202613349
Tmem108	Cd24a	20.78439008003707
Pak3	Pcdh11x	20.752013014021074
Pou3f2	Aqp4	20.73226669037471
Ar	Gpr165	20.664930285491714
Brs3	Calcr	20.644871477282923
Slc17a6	Cbln2	20.578695798367587
Prlr	Glra3	20.556736850390777
Cyr61	Sox6	20.445214813968306
Opalin	Ttyh2	20.398201595255454
Pgr	Irs4	20.377926849237255
Aldh1l1	Tiparp	20.369183761907976
Necab1	Cbln1	20.35687562694272
Ttyh2	Gpr165	20.340022290145704
Ccnd2	Lmod1	20.326002736928455
Esr1	Ar	20.29594556793859
Esr1	Brs3	20.267225937958468
Lpar1	Opalin	20.224844796428176
Syt4	Cckar	20.210798490235415
Cd24a	Lpar1	20.16142574259821
Ar	Gda	20.129519279844388
Prlr	Bdnf	20.088735488291135
Gad1	Irs4	20.008582901778496
Gpr165	Tmem108	19.947176400949427
Gad1	Tacr1	19.93145102896513
Ttyh2	Lpar1	19.922951445734803
Arhgap36	Dgkk	19.913866270749953
Prlr	Coch	19.885022527288914
Ar	Oprl1	19.838678168940984
Gad1	Oxtr	19.777464807365888
Fn1	Ndrg1	19.757311041230437
Coch	Gda	19.735288483179012
Sgk1	Plin3	19.685457765154755
Cbln1	Fezf1	19.67885877338792
Oprl1	Crhr1	19.61954221407576
Glra3	Trhr	19.573506514437113
Irs4	Isl1	19.515601221430813
Cspg5	Man1a	19.497660351238988
Pak3	Amigo2	19.39394378614696
Irs4	Pnoc	19.367246984586924
Oprl1	Necab1	19.35422607681264
Cbln1	Gad1	19.34892064154283
Ndrg1	Rnd3	19.307828029338552
Cpne5	Oprd1	19.274149714350553
Syt4	Ttyh2	19.271314651882502
Lpar1	Man1a	19.262336566347823
Ar	Coch	19.251839482529295
Gpr165	Syt4	19.240132512625802
Pak3	Bdnf	19.219485144789356
Cpne5	Ntsr1	19.1558608423764
Ndrg1	Traf4	19.145219228064526
Htr2c	Oprk1	19.11316866187628
Slc17a6	Fezf1	19.10156380453835
Npy2r	Cd24a	19.055618484388834
Lpar1	Ermn	19.045237283629923
Ar	Rgs2	19.031645362875395
Cbln2	Cspg5	19.023376647227085
Gabrg1	Glra3	18.99806397773603
Ebf3	Slc17a7	18.98834419019958
Sema3c	Slco1a4	18.77203278293186
Ttyh2	Tiparp	18.757450439698083
Cxcl14	Bmp7	18.69024284926763
Oprl1	Cbln1	18.676994063977283
Gabra1	Pak3	18.674400828397648
Pgr	Pak3	18.66137775395089
Sox8	Aqp4	18.622134073871848
Cpne5	Baiap2	18.56656487330379
Necab1	Ramp3	18.483909601707037
Gpr165	Arhgap36	18.424809515051606
Prlr	Rgs2	18.400440668534216
Cd24a	Cxcl14	18.29615893244173
Fezf1	Nos1	18.294619188576288
Ermn	Plin3	18.28974830182787
Gpr165	Col25a1	18.276337467282445
Irs4	Sytl4	18.260539077773647
