"ncells","ngenes","ram","time"
500,1000,86.2,3.154
500,2000,216.9,6.295
500,5000,884.1,22.443
1000,1000,147.2,5.623
1000,2000,339.1,13.808
1000,5000,1189.7,49.221
2000,1000,270.1,13.635
2000,2000,584.1,34.656
2000,5000,1800.9,117.971
5000,1000,638.8,57.682
5000,2000,1319,140.026
5000,5000,3634.4,420.437
10000,1000,1253.4,184.695
10000,2000,2543.9,433.743
10000,5000,6690.4,2881.776
